Index,LID,LID_Name,Length,Status_Code,Latency_ms,Result,Error_Message
1,0x02,SMART_Health_Information,512,-1,0.26,FAIL,"Get Log Page (LID=0x02) 執行失敗。
Protocol-Query 錯誤: DeviceIoControl (Protocol-Query) failed with Windows error 1117
Pass-Through 錯誤: DeviceIoControl (Pass-Through) failed with Windows error 87"
2,0x02,SMART_Health_Information,512,-1,0.29,FAIL,"Get Log Page (LID=0x02) 執行失敗。
Protocol-Query 錯誤: DeviceIoControl (Protocol-Query) failed with Windows error 1117
Pass-Through 錯誤: DeviceIoControl (Pass-Through) failed with Windows error 87"
3,0x02,SMART_Health_Information,512,-1,0.25,FAIL,"Get Log Page (LID=0x02) 執行失敗。
Protocol-Query 錯誤: DeviceIoControl (Protocol-Query) failed with Windows error 1117
Pass-Through 錯誤: DeviceIoControl (Pass-Through) failed with Windows error 87"
4,0x02,SMART_Health_Information,512,-1,0.20,FAIL,"Get Log Page (LID=0x02) 執行失敗。
Protocol-Query 錯誤: DeviceIoControl (Protocol-Query) failed with Windows error 1117
Pass-Through 錯誤: DeviceIoControl (Pass-Through) failed with Windows error 87"
5,0x06,Device_Self_Test,512,-1,0.29,FAIL,"Get Log Page (LID=0x06) 執行失敗。
Protocol-Query 錯誤: DeviceIoControl (Protocol-Query) failed with Windows error 1117
Pass-Through 錯誤: DeviceIoControl (Pass-Through) failed with Windows error 87"
6,0x81,Sanitize_Status,512,-1,0.28,FAIL,"Get Log Page (LID=0x81) 執行失敗。
Protocol-Query 錯誤: DeviceIoControl (Protocol-Query) failed with Windows error 1117
Pass-Through 錯誤: DeviceIoControl (Pass-Through) failed with Windows error 87"
7,0xC0,Vendor_Specific_0xC0,64,-1,0.28,FAIL,"Get Log Page (LID=0xC0) 執行失敗。
Pass-Through 錯誤: DeviceIoControl (Pass-Through) failed with Windows error 87
Protocol-Query 錯誤: DeviceIoControl (Protocol-Query) failed with Windows error 1117"
8,0x02,SMART_Health_Information,4,-1,0.30,FAIL,"Get Log Page (LID=0x02) 執行失敗。
Protocol-Query 錯誤: DeviceIoControl (Protocol-Query) failed with Windows error 1117
Pass-Through 錯誤: DeviceIoControl (Pass-Through) failed with Windows error 87"
9,0x02,SMART_Health_Information,1,-1,0.25,FAIL,"Get Log Page (LID=0x02) 執行失敗。
Protocol-Query 錯誤: DeviceIoControl (Protocol-Query) failed with Windows error 1117
Pass-Through 錯誤: DeviceIoControl (Pass-Through) failed with Windows error 87"

Total,9
Pass,0
Fail,9
